id;section_name;agents_no;start_left;start_right;start_bottom;start_top;goal_x;goal_y
1;biedronka;1;54.09090909090909;57.5;13.363636363636363;14.727272727272727;8.636363636363637;12.045454545454545
2;biedronka;1;54.09090909090909;57.5;10.181818181818182;11.545454545454545;8.636363636363637;12.045454545454545
3;biedronka;1;47.86363636363637;47.90909090909091;5.045454545454546;5.136363636363637;8.636363636363637;12.045454545454545
4;biedronka;1;39.27272727272727;39.31818181818182;5.136363636363637;5.090909090909091;8.636363636363637;12.045454545454545
1;lidl;1;7.090909090909091;10.5;12.181818181818182;13.545454545454545;27.136363636363637;40.09090909090909
2;lidl;1;7.090909090909091;10.5;15.363636363636363;16.727272727272727;27.136363636363637;40.09090909090909
3;lidl;1;15.136363636363637;15.181818181818182;31.318181818181817;31.272727272727273;27.136363636363637;40.09090909090909
4;lidl;1;11.5;11.545454545454545;24.772727272727273;24.727272727272727;27.136363636363637;40.09090909090909
1;groszek;1;27.5;28.863636363636363;36.68181818181818;40.09090909090909;62.77272727272727;19.59090909090909
2;groszek;1;30.681818181818183;32.04545454545455;36.68181818181818;40.09090909090909;62.77272727272727;19.59090909090909
3;groszek;1;40.63636363636363;40.68181818181818;32.0;31.954545454545453;62.77272727272727;19.59090909090909
4;groszek;1;48.5;48.54545454545455;27.045454545454547;27.0;62.77272727272727;19.59090909090909
1;lewiatan;1;63.36363636363637;64.72727272727273;15.954545454545455;19.363636363636363;82.0;18.818181818181817
2;lewiatan;1;66.54545454545455;67.9090909090909;15.954545454545455;19.363636363636363;82.0;18.818181818181817
3;lewiatan;1;74.27272727272727;74.31818181818181;12.681818181818182;12.636363636363637;82.0;18.818181818181817
4;lewiatan;1;82.22727272727273;82.27272727272727;20.636363636363637;20.59090909090909;82.0;18.818181818181817
1;aldi;1;71.5909090909091;72.95454545454545;40.04545454545455;43.45454545454545;55.59090909090909;36.0
2;aldi;1;74.77272727272727;76.13636363636364;40.04545454545455;43.45454545454545;55.59090909090909;36.0
3;aldi;1;66.63636363636364;66.68181818181819;41.72727272727273;41.68181818181818;55.59090909090909;36.0
4;aldi;1;58.36363636363637;58.40909090909091;41.13636363636363;41.09090909090909;55.59090909090909;36.0
1;kaufland;1;54.09090909090909;57.5;31.0;32.36363636363637;55.81818181818182;14.727272727272727
2;kaufland;1;54.09090909090909;57.5;34.18181818181818;35.54545454545455;55.81818181818182;14.727272727272727
3;kaufland;1;55.72727272727273;55.77272727272727;26.863636363636363;26.818181818181817;55.81818181818182;14.727272727272727
4;kaufland;1;55.81818181818182;55.86363636363637;38.27272727272727;38.22727272727273;55.81818181818182;14.727272727272727
